host;guest;hosts_goals;guests_goals;winer;mvp;game_date
Orenburg;Baltika;1;0;Orenburg;a;3/10/2024
Lokomotiv M.;PFC Sochi;2;2;;a;3/10/2024
Spartak Moscow;Fakel Voronezh;0;2;Fakel Voronezh;a;3/10/2024
Dinamo Moscow;Rostov;1;4;Rostov;a;3/29/2024
Krylya Sovetov;Zenit;1;1;;a;3/30/2024
PFC Sochi;CSKA Moscow;2;2;;a;3/30/2024
Baltika;Nizhny Novgorod;2;0;Baltika;a;3/30/2024
Spartak Moscow;Ural;0;0;;a;3/30/2024
Fakel Voronezh;Orenburg;0;0;;a;3/31/2024
Rubin Kazan;Akhmat Grozny;2;1;Rubin Kazan;a;3/31/2024
Lokomotiv M.;FC Krasnodar;1;1;;a;3/31/2024
Ural;Krylya Sovetov;1;2;Krylya Sovetov;a;4/6/2024
Nizhny Novgorod;FC Krasnodar;3;4;FC Krasnodar;a;4/6/2024
Rostov;PFC Sochi;2;2;;a;4/6/2024
CSKA Moscow;Fakel Voronezh;4;1;CSKA Moscow;a;4/7/2024
Akhmat Grozny;Lokomotiv M.;0;2;Lokomotiv M.;a;4/7/2024
Zenit;Baltika;1;0;Zenit;a;4/7/2024
